Place	Bib	Name	Time	
1	66666		2:26:58.9
2	538		3:34:30.7
3	537		3:38:04.4
4	548		3:43:45.3
5	557		3:45:47.7
6	558		3:45:57.7
7	528		3:48:41.5
8	555		3:49:07.1
9	571		3:49:22.2
10	542		3:49:22.7
11	550		3:51:05.6
12	543		3:52:38.2
13	554		3:54:02.5
14	566		3:57:51.6
15	570		4:01:09.0
16	524		4:01:30.1
17	565		4:01:32.5
18	527		4:01:48.4
19	549		4:05:02.8
20	547		4:08:01.5
21	553		4:09:48.4
22	540		4:10:26.8
23	564		4:12:04.9
24	536		4:12:45.6
25	525		4:13:05.3
26	569		4:17:42.8
27	526		4:18:33.6
28	568		4:20:19.3
29	532		4:21:21.8
30	544		4:22:11.0
31	552		4:25:29.9
32	530		4:26:50.1
33	567		4:28:25.8
34	535		4:37:17.7
35	520		4:48:09.9
36	533		4:54:43.6
37	551		4:54:47.3
38	521		4:56:01.4
39	529		4:56:46.4
40	512		5:03:40.7
41	509		5:06:49.4
42	507		5:16:55.7
43	514		-0 laps
44	510		5:24:26.8
45	560		5:44:46.9
46	504		5:53:28.3
47	562		6:07:59.3
48	501		6:10:59.1
49	522		6:25:10.6
50	519		6:27:57.5
51	518		6:39:46.2
52	561		6:48:02.6
53	523		6:59:50.7
54	563		7:16:11.9
55	559		7:27:18.7
56	513		7:33:59.3
-	506		DNF
-	511		DNF
-	517		DNF
-	531		DNF
