Class,Position,Plate,First,Last,Team,Stage 1,Stage 2,Stage 3,Stage 4,Total Time,Custom
M pro/open,1,0,Lucas,WEAVER,,03:11.7,05:54.2,06:02.0,04:01.6,19:09.5,
M pro/open,2,0,Matthew,CLEMENTS,,03:15.2,05:55.9,06:15.4,04:05.9,19:32.3,
M pro/open,3,0,Ryan,CLAEYS,,03:20.8,06:12.7,06:26.8,04:21.0,20:21.3,
M pro/open,4,0,Stone,LIEBERMAN,,03:21.3,06:17.7,06:24.6,04:20.4,20:24.0,
M pro/open,5,0,Angelo,WASH,,03:25.6,06:24.1,06:31.5,04:21.4,20:42.6,
M pro/open,6,0,Clay,ROGERS,,03:43.6,06:24.2,06:46.5,04:22.8,21:17.1,
M pro/open,7,0,Jameson,HINKLE,,03:23.9,07:10.9,06:47.0,04:25.2,21:47.1,
M pro/open,8,0,Ruben,HERNANDEZ,,03:36.6,06:53.4,06:46.5,04:33.2,21:49.6,
M pro/open,9,0,Hugh,MULGREW,,03:46.8,06:56.5,07:08.1,04:47.3,22:38.7,
M pro/open,10,0,Reid,TUNNELL,,03:55.1,07:08.9,07:08.6,04:48.9,23:01.5,
M pro/open,11,0,JP,GANNON,,03:54.6,07:10.3,07:22.3,04:56.3,23:23.5,
M pro/open,12,0,Derek,STROH,,04:17.6,07:36.8,08:29.3,05:45.0,26:08.6,
M pro/open,13,0,Nick,BELLUCCIA,,03:23.4,00:00.0,00:00.0,00:00.0,,
M pro/open,14,0,Nigel,GROCE-WRIGHT,,03:57.4,08:38.5,08:00.3,00:00.0,,
M vet 40-49,1,0,Travis,JONES,,03:15.8,06:15.2,06:31.6,04:15.7,20:18.3,
M vet 40-49,2,0,Chad,OLIVER,,03:23.5,06:26.7,06:39.2,04:26.8,20:56.2,
M vet 40-49,3,0,Matt,CHILDERS,,03:24.6,06:30.5,06:52.6,04:41.5,21:29.2,
M vet 40-49,4,0,Todd,ROBINSON,,03:46.4,06:51.7,07:04.6,04:52.8,22:35.4,
M vet 40-49,5,0,John,MEAD,,03:46.2,07:09.4,07:14.3,04:48.7,22:58.5,
M vet 40-49,6,0,Robert,DICKINSON,,04:45.4,10:05.0,09:38.9,00:00.0,,
Men U21,1,0,Drew,NICOLAUS,,03:11.9,05:58.9,06:18.9,04:08.2,19:37.9,
Men U21,2,0,Andrew,ISSEM,,03:18.7,06:12.7,06:16.5,04:09.0,19:57.0,
Men U21,3,0,Ben,STAUFFER,,03:20.3,06:32.2,06:33.8,04:20.3,20:46.6,
Men U21,4,0,Matt,WILLIAMS,,03:29.5,06:13.9,06:50.5,04:47.3,21:21.2,
Men U21,5,0,Max,SCHRIBER,,03:37.4,06:45.2,06:44.3,04:31.2,21:38.1,
Men U21,6,0,Ian,GORDON,,03:33.8,08:42.6,06:27.8,04:23.5,23:07.6,
Men U21,7,0,Matthew,WOOD,,03:32.1,08:53.8,06:36.5,04:26.1,23:28.4,
Men U21,8,0,Brice,CRUM,,03:57.2,07:46.0,07:32.3,04:34.1,23:49.6,
Men U21,9,0,Ryan,FOSTER,,03:55.2,09:19.8,07:45.1,05:01.8,26:01.8,
Men U21,10,0,Zain,MIRZA,,03:56.5,07:00.3,23:34.2,04:30.7,39:01.6,
W Pro/Open,1,0,Laura,HAMM,,03:59.2,06:48.7,07:33.5,05:14.0,23:35.4,
W Pro/Open,2,0,Serena,CIPARIS,,04:08.2,09:40.1,08:07.8,05:27.0,27:23.2,
